Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
Baldur's Gate: Dark Alliance II,20-Jul-22,$29.99 ,"Action, RPG","Hack and Slash, Dungeon Crawler, Action RPG, CRPG, PvE, RPG, Character Customization, 3D, Isometric, Action, Story Rich, Fantasy, Magic, Adventure, Old School, Combat, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, +, ",Square One Games Inc.,Interplay Entertainment Corp.,Very Positive,- 82% of the 518 user reviews for this game are positive.
Dystopika,21-Jun-24,$6.99 ,"Casual, Indie, Simulation","Design & Illustration, Sandbox, Building, Cyberpunk, Relaxing, Simulation, City Builder, Casual, Noir, Procedural Generation, Base Building, 3D, Dystopian, Sci-fi, Open World, Atmospheric, Strategy, Futuristic, Cinematic, Singleplayer, +, ",Voids Within,Voids Within,Overwhelmingly Positive,"- 97% of the 1,991 user reviews for this game are positive."
LEGO® MARVEL's Avengers,26-Jan-16,$19.99 ,"Action, Adventure","LEGO, Open World, Superhero, Adventure, Action, Multiplayer, Local Co-Op, Comedy, Funny, Co-op, Third Person, Singleplayer, Family Friendly, Local Multiplayer, Split Screen, Online Co-Op, Comic Book, Puzzle, Atmospheric, Casual, +, ",Traveller's Tales,Warner Bros. Interactive Entertainment,Very Positive,"- 87% of the 4,890 user reviews for this game are positive."
MechWarrior 5: Mercenaries - Call to Arms,7-Jun-22,$14.99 ,"Action, Simulation","Action, Simulation, Violent, Mechs, +, ",Piranha Games Inc.,Piranha Games Inc.,Mixed,- 64% of the 114 user reviews for this game are positive.
Stolen Realm,8-Mar-24,$19.99 ,"Adventure, RPG, Strategy","Turn-Based Tactics, Party-Based RPG, Tactical RPG, CRPG, Turn-Based Strategy, RPG, Character Customization, Online Co-Op, Strategy, Turn-Based Combat, Multiplayer, Loot, Top-Down, Tactical, Local Co-Op, Adventure, Board Game, Class-Based, Tabletop, Singleplayer, +, ",Burst2Flame Entertainment,Burst2Flame Entertainment,Very Positive,"- 86% of the 2,565 user reviews for this game are positive."
Digimon Survive,28-Jul-22,$59.99 ,RPG,"Visual Novel, Tactical RPG, Anime, JRPG, Mystery, Story Rich, Turn-Based Tactics, Singleplayer, Drama, Psychological, Survival, Soundtrack, Text-Based, Emotional, RPG, Isometric, Turn-Based Strategy, Strategy RPG, 2.5D, Simulation, +, ","HYDE, Inc.",Bandai Namco Entertainment Inc.,Mostly Positive,"- 79% of the 2,659 user reviews for this game are positive."
Leaf Blower Revolution - Idle Game,4-Dec-20,$24.99 ,"Casual, Indie, Free To Play","Idler, Clicker, Casual, Indie, Crafting, Pixel Graphics, Collectathon, Free to Play, Relaxing, Funny, 2D, Exploration, Farming Sim, Top-Down, Colorful, Physics, Atmospheric, Multiplayer, Singleplayer, Great Soundtrack, +, ",Humble North,Humble North,Very Positive,"- 94% of the 24,114 user reviews for this game are positive."
Heavenly Bodies,7-Dec-21,$19.99 ,"Action, Adventure, Indie, Simulation","Physics, Difficult, Space, Local Co-Op, Adventure, Simulation, Puzzle, Atmospheric, Precision Platformer, Co-op, Stylized, Puzzle Platformer, Singleplayer, Action, Indie, Funny, 2.5D, Local Multiplayer, Comedy, Controller, +, ",2pt Interactive,2pt Interactive,Overwhelmingly Positive,"- 96% of the 2,966 user reviews for this game are positive."
Rune Factory 3 Special,5-Sep-23,$39.99 ,"Casual, RPG, Simulation","RPG, Farming Sim, Romance, Adventure, Fantasy, Action RPG, Cute, Magic, Creature Collector, Fishing, Crafting, Action, Combat, 3D, Singleplayer, JRPG, Dating Sim, Simulation, Story Rich, Agriculture, +, ",Marvelous Inc.,XSEED Games,Very Positive,- 94% of the 483 user reviews for this game are positive.
Severed Steel,17-Sep-21,$24.99 ,"Action, Indie","FPS, Bullet Time, Action, Parkour, Shooter, Female Protagonist, First-Person, Destruction, Stylized, Singleplayer, Cyberpunk, Voxel, 3D, Soundtrack, Electronic, Indie, Violent, Level Editor, Time Attack, Mature, +, ",Greylock Studio,Greylock Studio,Overwhelmingly Positive,"- 95% of the 4,871 user reviews for this game are positive."
